Descriptor,Aliases,DUNS
Ampco-Pittsburgh Corp,Åkers AB|AMPCO PITTSBURGH|Union Electric Steel UK Ltd|Aerofin Corporation|Buffalo Pumps Inc|AMPCO PITTSBURG CORP|Ampco Pittsburgh Corp.|AMPCO PITTSBURGH CORP|Åkers Group.|Alloys Unlimited & Processing Inc|Akers AB|AmpcoPittsburgh Corp.|Union Electric Steel Corp,004327862
Amplify Energy Corp,Midstates Petroleum Co. Inc.|Midstates Petroleum Company LLC|Amplify Energy Corp,078398142
Amyris Inc,,
Anadarko Public Schools,,
Analogic Design and Development Systems Ltd,,294901061
Anchor Glass Container Corp,ANCHOR GLASS CONTAINER CORP|ANCHOR GLASS|ANCHOR GLASS CONTAINER,966475170
"Anchor-Harvey Components, Inc.","Anchor Harvey Components, Inc.",070696422
Ancotel GmbH,Long Island Data and Recovery Center,326593485
Anderson Spratt Group Holdings Ltd,ANDERSON ADVERTISING|AndersonSprattGroup Ltd|The Internet Business Ltd|Tibus,229269865
Ando Corp,安藤建設|ANDO CORP,690574777
Andrews McMeel Universal,Andrews McMeel Publishing|Universal Press Syndicate,052309747
Andronio SpA,,428677546
Ang Lifesciences India Ltd,Star Biotech Co. Ltd.|Mansa Print & Publishers|Ang Lifesciences India Private Limited,864425423
Anglo Building Products,,294972617
Anglo-Dutch Ltd,,733076470
Anhui Jiebo Trading Co. Ltd.,,
Anhui Jinxin Car Sales Service Co. Ltd.,,
Anhui Tongguan Copper Foil Group Company Limited,,
Anhui Yijian Xinan Nursing Home Co. Ltd.,,
Anhui Yimen Dried Mosses Co. Ltd.,,
Anima Sgr SpA,Bipiemme Gestioni SGR Spa|Anima Sicav|Anima Orizzonti|Anima Sgrpa|Anima Sgr|Anima Liquidità,444464846
Animas Resources Ltd.,First Silver Reserve S.A. de C.V.|Compania Minera Chuqui S.A. de C.V.|Recursos Escondidos S.A. de C.V|Deal Capital Ltd.,243487126
Ankur Udyog Limited,,
Annayake,,392964649
Anning Lianli Agricultural Supplies Co. Ltd.,,
Anscott Industries Inc,Liquidix Inc.|Learner's World Inc.|Learners World Inc.,120318543
"Answer Holdings Co.,Ltd","Answer Holdings Co.,Ltd|株式会社アンサーホールディングス|アンサー倶楽部|Answer Holdings K.K.",693061809
Antelope Valley Transit Authority,,045578353
Anusha International Ltd,,650287493
Anwell Technologies Limited,宏威科技集團|Anwell Technologies|Anwell Technologies Co. Ltd.|Anwell Tech|宏威科技集团,669347846
Anyang Yangcong Car Sales Co. Ltd.,,
Aoyuan Healthy Life Group Company Limited,奧園健康|奥园健康|奧園健康生活集團有限公司|Aoyuan Healthy Life Group Company Limited|AOYUAN HEALTHY|奥园健康生活集团有限公司,686212832
Apco Oil & Gas International Inc.,APCO ARGENTINA INC|APCO ARGENTINA|APCO ARGENTINA INC CAYMAN IS|A P C O Argentina Inc.,150366243
Apex,,544166630
Apex International Co Ltd,Apex International Co Ltd|泰鼎國際股份有限公司|Apex International Company Limited|泰鼎-KY|泰鼎KY|泰鼎国际股份有限公司|ابيكس انترناشونال كومباني,863985131
Aplix Corporation,アプリックス|GAIA Holdings Corporation|G mode Co Ltd|ガイアHD|株式会社ジー・モード|ガイアホールディングス|G-mode Co Ltd|iaSolution Inc|Aplix Europe GmbH|Aplix Corporation|Aplix IP Holdings Corporation|株式会社アプリックス|ガイアHLD|アプリックスＩＰホールディングス株式会社|GAIA Holdings Corp.|ジー・モード|Aplix IP Holdings Corp.|ジーモード,701077620
Apollo Zhanmao Technology (Shenzhen) Co. Ltd.,,
Apoteket AB,APOTEKSBOLAGET AB|APOTEKET|APOTEKSBOLAGETS ADA|APOTEKSBOLAGET,354464711
"AppHarvest, Inc",Novus Capital Corporation|Root AI|RootAI,117325856
Application Developments plc,,777541863
Applied Biosystems Group,Agencourt Personal Genomics|Perceptive Biosystems Inc|Applera-Applied Biosys|APPLIED BIOSYSTEMS LTD|アプレラ,557362162
Applied Molecular Evolution Inc,Ixsys Inc,609189220
Appolicious Inc.,,069834493
"Appvion Operations, Inc.",Paperweight Development Corp|Appleton Papers Inc.|American Plastics Company Inc,089581557
Aprius Inc.,,808431758
Apron Srl,,
Aptronix,APTRONIX INC,623263936
Aquafil S.p.A.,Space3 S.p.A.|O'Mara Incorporated,437619940
Aquafil S.p.A.,,
Aqualife A/S,Aqualife AS|Aresa A/S|Aresa AS,307257605
Aquatic Engineering & Construction Ltd,,505232074
"Aquire, Inc.","Aquire Inc.|TimeVision Inc.|TimeVision, Inc.|Aquire Solutions Inc.|Aquire Solutions, Inc.",926389958
Arab Food & Medical Appliances,العربية للغذاء والاجهزة الطبية|العربية للغذاء والأجهزة الطبية,552255325
Arab Open University,الجامعة العربية المفتوحة|AOU,557985775
Arab Pesticides and Veterinary Drugs Manufacturing Co,شركة العربية لصناعة المبيدات والادوية البيطرية|The Arab Pesticides and Veterinary Drugs Manufacturing Co|Mobedco|Arab Pesticides and Veterinary Drugs Mfg. Co.|The Arab Pesticides and Veterinary Drugs Mfg. Co.|العربية لصناعة المبيدات والأدوية البيطرية,645241225
ArcBest Corporation,"CAROLINA BREAKDOWN|ABF Freight System Canada Ltd|ABF U-Pack Moving|Bear Transportation Services, L.P.|ABF LogisticsSM|ABF U Pack Moving|Panther Expedited Services Inc|Treadco Inc.|ABF Freight System Inc.|مؤسسة أركنساس بست|ABF FREIGHT SYSTEMS|ABF U-Pack|FleetNet America Inc|MoLo Solutions|ABF FREIGHT SYSTEM INC|Arkansas Best Corporation|FreightValue Inc|Integres Global Logistics Inc|Data-Tronics Corp|ABF U Pack",194501870
Arcade,,776889016
Arcade Acquisition Corp.,,829352413
Arcamax Inc,,964630743
Arcanum-Butler Local School District,,
Architects Design Group,,210508045
Archive Systems Inc.,Off-Site Records Management Inc.|Access Records & Media Management|Information Governance Solutions LLC|Shredder’s Inc.|Access Corp|Insight Storage Solutions Inc.|International Data Depository Inc.|Primco|Underground Records Management LLC|Safeguard Records Management|Safeguard Records Management Co.|Butler Box & Storage Inc.|Docu-Dépot Inc|Hansen Records Management,782759021
Arcole,ARCOLE,500818088
Arcor,,381842277
Arctos NorthStar Acquisition Corp.,,117919633
Argenti Systems Ltd,,294281985
Argo Group Us Inc.,,
Argonon Ltd.,Transparent Television|BriteSparkfilms|Nemorin Film & Video|Argonon International|Windfall Films Ltd.|Leopard Films|Remedy Productions,217119857
Ari Technologies,,018109681
Arihant Foundations & Housing Ltd,,675623356
Arima Lasers Corp.,华信光电科技股份有限公司|華信光電科技股份有限公司|华信科|Arima Lasers Corp.|華信科,658731737
Aritzia Inc.,Aritzia LP,257163121
Arkansas Blue Cross & Blue Shield,HMO Partners Inc.|BLUE CROSS BLUE SHIELD OF ARIZONA|ARKANSAS BLUE CROSS & BLUE SHIELD|ARKANSAS BLUE CROSS,065320038
Arkansas Department of Education,Department of Education|Education Department|Arkansas School for the Blind and Visually Impaired,809872856
Arkansas Farm Bureau,,010315232
Arkose Energy Corp,Arkose Energy Inc|Cantex Energy Corp.,079441530
Armagh Designs Ltd,,
Armbusinessbank C.J.S.C.,"Армбизнесбанк|ЗАО ""Армбизнесбанк""|""Armbusinessbank"" C.J.S.C.",565747664
Armour Security Ltd,,
Arncliffe Homes Ltd,,769536319
Arnewood Estates Ltd,Arnewood Estates Limited,217438084
Arrk Europe Limited,,
Arrowhead Publishing,ARROWHEAD BOOKS,217461342
Arrowsmith Properties Ltd,,255431561
ArtSpark Holdings Inc.,"エイチアイ|セルシス|Celsys, Inc.|アートスパークホールディングス株式会社|Hi Corporation|ArtSpark Holdings Incorporated",691634790
Arte Vetro,,434353074
Artnature Inc,アートネイチャー|Artnature Inc|株式会社アートネイチャー|Artnature,692475098
Asahi Corporation,アサヒ|アサヒ株式会社,692397961
Asaka Bank,"банка “Асака” (открытого акционерного общества)|государственный акционерно-коммерческий банк /ГАКБ/ ""Асака""|Asakabank|ГАКБ ""Асака""|ГАК «Асакабанк»|банк ""Асака""|""Асакабанк""",499240000
Ascendant Resources Inc,Morumbi Resources Inc.|Rockwell Exploration S.A.|Blackburn Ventures Corp|Morumbi Oil & Gas Inc.,250930356
Ascot Lloyd Financial Services Ltd,Ascot Lloyd PLC,770640480
Asenova Krepost AD,Assenova Krepost,644969834
Ashler et Manson,Ashler and Manson|Ashler & Manson,266480651
Ashtrom Properties Ltd.,Ashlad Ltd,600203723
Asia Standard Hotel Group Ltd,泛海酒店|泛海酒店集团有限公司|アジアスタンダードホテル|泛海酒店集団有限公司|Asia Standard Hotel Group Ltd|Yaohan Hong Kong Corp.|泛海酒店集團有限公司|泛海酒店集団|YAOHAN HONGKONG CORP|YAOHAN HONG KONG CORP LTD|Yaohan Hongkong Corp.,667613970
Askham Oil Supplies,,
Aspen International Holdings Inc.,REB Project Inc.,079260034
Assessment Technologies Institute LLC,,018803580
Associated Benefits Service,,
Associated Consulting Engineers,المكتب الهندسي الإستشاري العالمي|شركة المكتب الهندسي الاستشاري العالمي,534705525
Association Française de Normalisation,French Normalisation Association (AFNOR)|Agence française de normalisation|Afnor|French Standardization Association (AFNOR),381755560
Asteria Corporation,Infoteria Corp|インフォテリア株式会社|This Place Limited|アステリア株式会社|Asteria Corporation,694662136
Asterkom,,359904400
"Astoria Software, Inc.",,878628239
Astrakhanskaia Energosbytovaia Kompaniia,Астраханская энергосбытовая компания|Astrakhan Power Sale Company OJSC|Astrakhan Energy Distributing Company|Astrakhan Power Sale Co. OJSC,354555624
Astral Windows,,218399135
Asturias Retail and Leisure SOCIMI S.A,Socimi Asturias Retail and Leisure|Asturias Retail & Leisure SOCIMI S.A.|La socimi Asturias Retail and Leisure,465436373
Atahal Petrol Nakliye Ve Turizm Dis Ticaret Ltd Sti,,
Atea Pharmaceuticals Inc.,,011467716
Atelierele CFR Grivita S.A.,,645130840
Atenor S.A.,Anaphor Venture|AGV SpA|Belectric S.A.|Hexaten S.A.|Delta Extinctors|International Motorcycle Accessories Group|Lonrho Continental SA|Imag|Matlift|Atenor Group SA,370048571
Ateso as,Autobrzdy|ATESO As (Jablonec Nad Nisou),643955743
Athabasca Minerals Inc.,TerraShift Engineering Ltd|AMI RockChain Inc.|Aggregates Management Inc.|Hali Capital Corp,243242729
Athena Kogyo Company Limited,"Atena Kogyo|Athena Kogyo Co., Ltd.|アテナ工業株式会社|Athena Kogyo Co.",690980388
Atienza de Inversiones SA SICAV,,565347697
Atlantic Mutual Companies,Centennial Insurance Company|Atlantic Mutual Insurance Company|Atlantic Cos|Atlantic Lloyd's Insurance Company of Texas|Atlantic Companies Holding Corp.,006980494
Atlantic Premium Brands Ltd,J.C. Potter Sausage Company,147248843
Atlantic Sapphire A/S,Atlantic Sapphire USA LLC,671286229
Atlantic Southeast Airlines,,095845095
Atlas Environmental Inc,ATLAS ENVIRONMENTAL INC|ATLAS ENVIRONMENTAL,051870987
Attendo AB,Attendo Ab (Publ)|Attendo Utveckling Publ AB,352471725
Attero Recycling Pvt Ltd,Transwaste Recycling and Aggregates Limited,650669844
Atwater Lantz Hunter & Co,,198022857
"Atypon Systems, Inc.","Authorea, Inc.|RedLink, Inc.|eMeta Corporation",961229176
Atyrauneftemash Too,,
AuRico Gold Inc.,Capital Gold Corp|Northgate Minerals Corp.|Gammon Gold Incorporated|Mexgold Resources Inc|Gammon Lake Resources Inc.|Gammon Gold Corporation,255296857
Auburn Manufacturing Inc,,097737571
Audyssey Laboratories Inc.,,126574214
Aujas Networks Private Limited,Aujas Information Risk Services,677393574
Aurado Energy Inc,Aurado Exploration Ltd.,255136434
Aurangabad Paper Mills Ltd,AURANGABAD PAPER MILLS,650202831
Aurora Spine Corporation,,247650203
Austin Funding Com Corp,,084477731
Austin Industries Inc,Austin Commercial Inc.|Austin Industries Inc.|Austin Industrial Inc.|Austin Bridge & Road,068955640
Austin Laz & Co. PLC,,558099376
Australasian Asian Holdings,,741962919
Australian Accounting Standards Board,Australian Board of Accounting Standards|AASB|مجلس معايير المحاسبة الاسترالية,740254875
Australian Agricultural Projects Ltd.,Piquant Blue Ltd|Piquant Blue|Redisland Australia Ltd.|Australian Agricultural Projects Limited|Redisland Australia Limited,751412649
Australian Aircraft Sales,,750695702
Australian Breastfeeding Association,,752445692
Australian Drug Foundation,adf,754189900
Australian Ethical Investment Ltd,,750031320
Australian Growth Properties Ltd,AUSTRALIAN GROWTH PROPERTIES LTD,750856189
Australian Vanadium Ltd,Yellow Rock Resources|Yellow Rock Resources Ltd,754049778
Austrian Treasury,"Bundesfinanzierungsagentur (ÖBFA),|ÖBFA|OeBFA|Österreichische Bundesfinanzierungsagentur|Bundesfinanzierungsagentur|Federal Financing Agency (OeBFA)|Austrian Federal Financing Agency",302510912
Authentica Inc,Authentica Security Technologies Inc,046009473
Autism Queensland,مركز التوحد في كوينزلاند|Autism QLD,748092157
Auto Italia Holdings Ltd.,和記行集団|Auto Italia Holdings Ltd.|和记行(集团)有限公司|意達利控股有限公司|意达利控股有限公司|Auto Italia Hldgs Ltd.|China Premium Lifestyle Enterprise Inc|ウォーキーホン|和記行(集団)有限公司|和記行(集團)有限公司|WO KEE HONG HLDGS LTD.|Wo Kee Hong Holdings Ltd.,875652109
Auto K Lack Peter Kwasny,,315564633
Auto Stepánek A.S.,,
AutoAlliance International Inc,AUTOALLIANCE INTL INC|AUTOALLIANCE INTL,139464804
AutoZone Inc,AUTOZONE|شركة أوتوزون|オートゾーン|ALLDATA LLC|Interamerican Motor Corporation|مجموعة شركات بالبيد|شركة أوتو زون|مجموعة بالبيد|Alldata Inc|ALLDATA Europe GmbH|AUTOZONE INC,157233511
Autograna a.d. Priboj,,360257871
Autonomous Solutions Inc.,ASI,964299791
Auviso Audio Visual Solutions Ag,,
Avago Technologies Uk Limited,,
Avanta OAO,"ОАО ""Аванта""|Avanta OJSC",534924188
Aveda Transportation and Energy Services Inc,"Robin's Oilfield Hauling|Hot Shot Service Ltd.|Marcels Truck Service Ltd.|Marine BioProducts International Corp|Alberta Loader Rentals Inc|Phoenix Oilfield Hauling Inc.|Hodges Trucking Company, L.L.C|Lon Dan Enterprises Ltd|Finnie Hauling & Storage Ltd.|ECA Technology Ltd|Aveda Transportation & Energy Services Inc|أفيدا للنقل وخدمات الطاقة",243180515
Aven Holmestrand AS,,515030427
Avi-Twente B.V.,,
Aviir Inc,,054565047
Avisa Diagnostics Inc.,Fogchain Corp|Mukuba Resources Limited|BF Minerals Ltd.,205519197
Avix Technologies Inc,USA Digital Inc|QingDao He Wei Yuan Food Co. Ltd.|USA Digital Inc.|Blazoon Systems Inc.,079617424
Avtobaza No4. PAT,"Avtobaza No. 4 PJSC|Avtobaza N.4 Vat Pivdenshlyakhbud, Dochirne Pidpryemstvo|Avtobaza N.4 Vat Pivdenshlyakhbud Dochirne Pidpryemstvo",363706419
Axial Biotech Inc.,,144960593
Axiohm USA LLC,Axiohm Transaction Solutions Incorporated|DH Technology Inc|DH Tech Inc,145102419
Aygaz AS,AYGAZ AS,628120636
Azearth Corporation,アゼアス株式会社|Azearth Corporation,690673686
Azimut-Benetti S.p.A.,Cantieri Fratelli Benetti|Azimut Benetti|Benetti Shipyards|Moschini Yards|Cantieri Navali Fratelli Orlando,428690234
B & A Packaging India Ltd,"B&A Packaging India Ltd.|B&A Multiwall Packaging Ltd,|B&A Sacks Ltd|B & A Multiwall Packaging Ltd",917070930
B And B Enterprises,,652461138
B M Financial Services India Private Limited,,
"B.G. Industries, Inc.",BG Industries Inc,060878527
B3 Solutions LLC,,832878123
BA Insight Inc,BA-Insight Inc.,137110065
BAC Group Ltd,BAC EXPRESS AIRLINES,225165968
BAIKAL LOGISTIKA OOO,,
BANCO DE LOS ANDES,,972196356
BANCO MAYO COOPERATIVO,,970382602
BANGLADESH ATOMIC ENERGY COMM,,731491825
BANKING LIAISON GROUP,,770027761
BARA INTERNATIONAL SHIPPING,BARA INTL SHIPPING LINES|BARA INTL SHIPPING,659688097
BATALLER AND PONS,,779532548
BAUXITE AND ALUMINA TRADING,,873242572
BAYAMON STEEL PROCESSORS INC,,
BCM Alliance Berhad,BCM聯合公司|BCM Alliance|BCM Alliance Bhd|BCM Alliance Berhad|BCM联合公司,534415199
BDP International Inc,Rostrum Forwarding Ltd.|Euromodal BDP International Spain|DJS International|Elite Group Inc|BDP International GmbH,069037802
BE Mirror,,917674517
BEAUFORT SHIPPING AGENCY,,749954855
BEE WISE,,211072082
BEIJING CAPITAL FUTURES CO LTD,"北京首創期貨經紀|北京首创期货经纪有限责任公司|北京首創期貨經紀有限責任公司|Capital Futures Co.,Ltd|北京首创期货经纪",528347818
BEIJING CHEMICAL FIBRE,,528053176
BEKLEIDUNG NAHT AG,,302135439
BENNISON MACKINNON,,889295361
BENSON REED,,294747530
BERKELEY WALBROOK,,229562152
BEST TASTE IN TOWN,,666838172
BETA LIGHTING,,212041917
BETAGRO CO LTD,ベタグロ|Betagro Group,659672232
BG SHIRKE AND COMPANY,,916809387
BHARAT PROCESS AND MECHANICAL,BHARAT PROCESS & MECHANICAL ENG,862228590
BIAS Corporation,,183205462
BIG R LEISURE LTD,,226671246
BIKELINE,,233583066
BIN JARALLAH TRADING,مجموعة بن جارالله,870139888
BIRMINGHAM LASER CUTTING LTD,,
BJ Enterprises,,042689062
BJK Aitken,,775146251
BKF Capital Group Inc,"BAKER FENTRESS & CO.|BKF Asset Management Inc|John A Levin & Co.|Levin John A|BakrFentrs|BAKER FENTRESS & CO|BKF Capital Group Incorporated|John A. Levin & Co.|Baker Fentress & Company|BAKER FENTRESS|Baker, Fentress & Co.|CTO Realty Growth Inc|BAKER FENTRESS AND CO.",055421382
BLACKBROOK NOMINEE 55 LIMITED,,735524881
BLEICHE AG (ZOFINGEN),,480004753
BLITZ,,377876735
BLUEPRINT ASSOCIATES LTD,,219789446
BNCCorp Inc,"TM Richards and Associates|BNC National Bank|Milne Scali & Company|BNC Insurance Services, Inc|T M Richards and Associates|Finkbeiner Agency",183352301
BNT Toplana d.d.,,672752164
BNW Business Systems,,227704335
BOB Mutual Fund - ELSS 97,,
BOSSHARD,BOSSHARD,485449953
BOURNEHALL LTD,,294868245
BRAND PROMOTIONS,,777856246
BRAXXON TECHNOLOGY,,399258763
BRAZILCO AGENCIES,,225127893
BRIGRAY GROUP,,293434403
BRL Hardy Ltd,BRL HARDY LTD|BRL HARDY AUSTRALIA|BRL HARDY|Nobilo Wines Ltd.|YARRA BURN,756685319
BROOM HOUSE GROUP LTD,,228595526
BSM Knit Fab India Ltd,BSM KNIT FAB INDIA,862303661
BT imaging Pty. Ltd.,"BT Imaging Inc|BT Imaging Pty Ltd (BTi)|BT imaging Pty., Ltd.|BT Imaging Pty Ltd.",756084278
BTC Health Ltd.,BioTech Capital Ltd.|BTC Health Limited|BIOTECH CAPITAL LIMITED|BioTech Capital,759602931
BTU Engineering,,797800914
BUDAPESTI VEGYIPARI GEPGYAR,BUDAPESTI VEGYIMUVEK,643373103
